product_name,summary
Laptop,"Laptop performance is decent but heats up quickly
Laptop build quality is premium
The laptop is very fast and reliable."
Smartphone,"Smartphone has good features but battery drains quickly
Mobile camera quality is excellent
Smartphone screen is bright and smooth."
Headphones,"Headphones are comfortable with great sound quality
Headphones have average sound, not very durable
mic quality is poor during calls."
Shoes,"Shoes are stylish but size runs small
Shoes look great and fit perfectly
Shoes are comfortable for long walks."
Backpack,"Backpack is durable and spacious
Backpack straps are very comfortable
Back pack zipper got stuck after a week."
Tablet,"Tablet is smooth and battery backup is excellent
Tablet has a large screen and is very easy to use."
Smartwatch,"Smartwatch looks stylish but battery drains fast
Smartwatch costs $99 and has a built-in GPS system."
Jacket,"Jacket is warm and comfortable
Jacket is warm, comfortable, warm and warm
Jacket will keep you warm in the winter."
Keyboard,"keyboard keys are noisy, average build
Keyboard keys can be difficult to use at times
keyboard keys can also be noisy."
Water Bottle,"Water bottle is lightweight and durable
Water bottle is durable and lightweight
Water bottles are made to last for years."
